충전소명,주소,상세주소,충전기ID,충전방식,충전상태,설치년도
서귀포경찰서,제주특별자치도 서귀포시 신중로 27,,3,단독,사용가능,2021
돌문화공원관리소,제주특별자치도 제주시 조천읍 교래리 남조로 2023,,1,단독,사용가능,2021
돌문화공원관리소,제주특별자치도 제주시 조천읍 교래리 남조로 2023,,2,단독,사용가능,2021
돌문화공원관리소,제주특별자치도 제주시 조천읍 교래리 남조로 2023,,3,단독,사용가능,2021
돌문화공원관리소,제주특별자치도 제주시 조천읍 교래리 남조로 2023,,4,단독,사용가능,2021
신화역사공원 J지구 공영주차장,제주특별자치도 서귀포시 안덕면 서광리 산35-7,,1,단독,사용가능,2021
신화역사공원 J지구 공영주차장,제주특별자치도 서귀포시 안덕면 서광리 산35-7,,2,단독,사용가능,2021
신화역사공원 J지구 공영주차장,제주특별자치도 서귀포시 안덕면 서광리 산35-7,,3,단독,사용가능,2021
신화역사공원 J지구 공영주차장,제주특별자치도 서귀포시 안덕면 서광리 산35-7,,4,단독,사용가능,2021
쇠소깍 공영주차장,제주특별자치도 서귀포시 쇠소깍로 104,,1,단독,사용가능,2021
생물종다양성연구소,제주특별자치도 서귀포시 남원읍 신례동로 338,,1,단독,사용가능,2021
제주농업기술원,제주특별자치도 서귀포시 중산간서로 212,,1,단독,사용가능,2021
성산읍사무소,제주특별자치도 서귀포시 성산읍 일주동로 4330,,1,단독,상태미확인,2021
표선면사무소,제주특별자치도 서귀포시 표선면 표선중앙로 74,,1,단독,상태미확인,2021
대정하모3공영주차장,제주특별자치도 서귀포시 대정읍 대정읍 하모리 1513,,1,단독,상태미확인,2021
제주영어교육도시,제주특별자치도 서귀포시 대정읍 보성리 2410,,1,단독,사용가능,2021
산방산,제주특별자치도 서귀포시 안덕면 사계리 163-1,,1,단독,사용가능,2021
성읍민속마을,제주특별자치도 서귀포시 표선면 성읍리 855-3,,1,단독,사용가능,2021
제주월드컵경기장,제주특별자치도 서귀포시 법환동 870,,1,단독,사용가능,2021
무릉문화의집,제주특별자치도 서귀포시 대정읍 서삼중로 128,,1,단독,사용가능,2021
표선생활체육관,제주특별자치도 서귀포시 표선면 한마음초등로 399,,1,단독,사용가능,2021
제주 곶자왈 도립공원입구,제주특별자치도 서귀포시 대정읍 에듀시티로 178,,1,단독,사용가능,2021
서귀포예술의전당,제주특별자치도 서귀포시 태평로 270,,1,단독,사용가능,2021
동부소방서,제주특별자치도 서귀포시 성산읍 일주동로 4120번길 7,,1,단독,사용가능,2021
서귀포농업기술센터,제주특별자치도 서귀포시 남원읍 중산간동로 7413,,1,단독,사용가능,2021
모구리야영장,제주특별자치도 서귀포시 성산읍 난산리 2967,,1,단독,사용가능,2021
동홍동 주민센터,제주특별자치도 서귀포시 동홍로 104,,1,단독,충전중,2021
영천동 주민센터,제주특별자치도 서귀포시 토평로 15,,1,단독,사용가능,2021
서귀포자치경찰대,제주특별자치도 서귀포시 부두로 1,,1,단독,충전중,2021
보목하수처리장,제주특별자치도 서귀포시 보목동 1413-1,,1,단독,사용가능,2021
안덕면사무소,제주특별자치도 서귀포시 안덕면 화순서서로 74,,1,단독,사용가능,2021
서귀포 자기주도학습지원센터,제주특별자치도 서귀포시 동홍중앙로 7번길 19,,1,단독,사용가능,2021
제주도청 1청사,제주특별자치도 제주시 문연로 6,,1,단독,사용가능,2021
제주시청,제주특별자치도 제주시 광양9길 10,,1,단독,사용가능,2021
제주도청 제2청사,제주특별자치도 제주시 문연로 30,,1,단독,사용가능,2021
구좌읍사무소,제주특별자치도 제주시 구좌읍 일주동로 3116,,1,단독,사용가능,2021
한경면체육관,제주특별자치도 제주시 한경면 칠전로 41,,1,단독,사용가능,2021
한라도서관,제주특별자치도 제주시 오남로 221,,1,단독,사용가능,2021
거문오름,제주특별자치도 제주시 조천읍 선흘리 461,,1,단독,사용가능,2021
동백동산습지센터,제주특별자치도 제주시 조천읍 동백로 77,,1,단독,사용가능,2021
어리목휴게소,제주특별자치도 제주시 1100로 2070-61,,1,단독,사용가능,2021
관음사지구안내소,제주특별자치도 제주시 산록북로 588,,1,단독,상태미확인,2021
제주소방서 항만119센터,제주특별자치도 제주시 임항로 146,,1,단독,사용가능,2021
노형동주민센터,제주특별자치도 제주시 노형9길 9-4,,1,단독,충전중,2021
삼양동주민센터,제주특별자치도 제주시 지석13길 6,,1,단독,사용가능,2021
녹고뫼안트레안내센터,제주특별자치도 제주시 애월읍 녹고메길 165,,1,단독,사용가능,2021
외도동 주민센터,제주특별자치도 제주시 일주서로 7350,,1,단독,충전중,2021
건입동 주민센터,제주특별자치도 제주시 만덕로 18,,1,단독,사용가능,2021
해군호텔,제주특별자치도 제주시 해안마을서2길 19,,1,단독,사용가능,2021
제주농업기술센터,제주특별자치도 제주시 애월읍 상귀길 173,,1,단독,사용가능,2021
